person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,probability_of_default_xgb (%),predicted_status_xgb,real_status (Target),segmento_riesgo_IA
26,47000,RENT,7.0,PERSONAL,A,15000,7.9,1,0.32,N,3,98.685776,1,1,Riesgo Alto
27,61000,RENT,1.0,VENTURE,B,12000,12.21,0,0.2,N,5,0.8190574,0,0,Riesgo Bajo
21,30000,RENT,2.0,MEDICAL,D,5000,14.96,1,0.17,Y,4,98.526634,1,1,Riesgo Alto
33,61500,RENT,7.0,EDUCATION,A,6000,5.79,0,0.1,N,10,5.5538807,0,0,Riesgo Bajo
25,31800,OTHER,1.0,HOMEIMPROVEMENT,C,10000,12.53,1,0.31,N,3,88.758965,1,1,Riesgo Alto
22,18996,RENT,1.0,MEDICAL,D,1500,10.99,1,0.08,Y,3,68.58442,1,1,Riesgo Alto
25,34000,RENT,8.0,PERSONAL,D,8400,10.99,0,0.25,N,4,69.17288,1,0,Riesgo Alto
25,32400,MORTGAGE,9.0,PERSONAL,C,10000,13.99,0,0.31,Y,3,65.24576,1,0,Riesgo Alto
25,48000,MORTGAGE,0.0,MEDICAL,C,23500,13.49,0,0.49,Y,4,80.736084,1,0,Riesgo Alto
25,61000,RENT,4.0,VENTURE,A,9500,7.51,0,0.16,N,2,0.5933926,0,0,Riesgo Bajo
24,35000,RENT,1.0,DEBTCONSOLIDATION,B,10000,10.99,0,0.29,N,4,10.889096,0,0,Riesgo Bajo
23,66000,RENT,7.0,EDUCATION,C,12000,14.65,0,0.18,Y,2,33.661877,0,0,Riesgo Medio
23,27252,RENT,3.0,VENTURE,C,5800,13.06,0,0.21,N,4,29.349794,0,0,Riesgo Medio
25,41000,RENT,9.0,MEDICAL,B,5000,11.71,0,0.12,N,2,39.364014,0,0,Riesgo Medio
28,70000,RENT,0.0,HOMEIMPROVEMENT,B,16100,11.83,0,0.23,N,9,23.300243,0,0,Riesgo Medio
33,86000,MORTGAGE,5.0,PERSONAL,D,15000,16.49,0,0.17,N,9,51.358353,1,0,Riesgo Alto
27,60000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,3600,5.42,0,0.06,N,9,9.539773,0,0,Riesgo Bajo
23,60000,MORTGAGE,0.0,EDUCATION,B,10000,11.26,0,0.17,N,3,7.3541017,0,0,Riesgo Bajo
25,39996,RENT,0.0,VENTURE,C,5000,12.87,0,0.13,Y,2,27.829042,0,0,Riesgo Medio
22,50724,RENT,7.0,EDUCATION,C,6300,15.96,0,0.12,Y,4,30.566395,0,0,Riesgo Medio
25,46000,RENT,9.0,PERSONAL,A,12000,5.42,0,0.26,N,3,22.329102,0,0,Riesgo Medio
37,85000,OWN,3.0,EDUCATION,F,10000,18.43,0,0.12,Y,16,19.338306,0,0,Riesgo Bajo
26,47000,RENT,7.0,MEDICAL,A,15000,7.9,1,0.32,N,4,98.65094,1,1,Riesgo Alto
28,100511,RENT,1.0,DEBTCONSOLIDATION,D,21000,10.99,1,0.21,Y,5,84.01297,1,1,Riesgo Alto
28,60000,MORTGAGE,12.0,HOMEIMPROVEMENT,A,20000,7.9,0,0.33,N,7,13.682978,0,0,Riesgo Bajo
23,66480,OWN,6.0,EDUCATION,A,4000,8.32,0,0.06,N,2,0.26766428,0,0,Riesgo Bajo
26,150000,RENT,3.0,PERSONAL,A,12000,7.9,0,0.08,N,3,5.851006,0,0,Riesgo Bajo
22,57000,MORTGAGE,6.0,VENTURE,B,7200,10.99,0,0.13,N,2,1.2126069,0,0,Riesgo Bajo
28,29496,RENT,8.0,EDUCATION,D,4500,14.11,0,0.15,Y,7,59.354168,1,0,Riesgo Alto
24,29004,RENT,0.0,VENTURE,D,6000,15.62,1,0.21,N,3,98.582146,1,1,Riesgo Alto
27,55000,MORTGAGE,8.0,VENTURE,C,7500,12.22,0,0.14,Y,6,26.042727,0,0,Riesgo Medio
31,89000,RENT,1.0,VENTURE,B,10000,10.99,0,0.11,N,9,1.7483261,0,0,Riesgo Bajo
30,69996,RENT,0.0,PERSONAL,B,2000,10.65,0,0.03,N,10,16.149721,0,0,Riesgo Bajo
